path,level,prefLabel,synonym,definition,word_count_in_prefLabel,id
symptom,0,symptom,[],"A symptom is a perceived change in function, sensation, loss, disturbance or appearance reported by a patient indicative of a disease.",1,s0001
symptom/musculoskeletal system symptom,1,musculoskeletal system symptom,[],,3,s0002
symptom/musculoskeletal system symptom/torticollis,2,torticollis,"['twisted neck', 'wry neck']",,1,s0003
symptom/musculoskeletal system symptom/loss of height,2,loss of height,[],,3,s0004
symptom/musculoskeletal system symptom/abnormal posture,2,abnormal posture,[],,2,s0005
symptom/musculoskeletal system symptom/tetany,2,tetany,[],,1,s0006
symptom/musculoskeletal system symptom/postural reaction,2,postural reaction,[],,2,s0007
symptom/musculoskeletal system symptom/postural reaction/abnormal hemiwalking,3,abnormal hemiwalking,[],,2,s0008
symptom/musculoskeletal system symptom/postural reaction/wheelbarrowing,3,wheelbarrowing,[],,1,s0009
symptom/musculoskeletal system symptom/postural reaction/hopping,3,hopping,[],,1,s0010
symptom/musculoskeletal system symptom/postural reaction/conscious proprioception,3,conscious proprioception,[],,2,s0011
symptom/musculoskeletal system symptom/postural reaction/abnormal hemiwalking hemistanding,3,abnormal hemiwalking hemistanding,[],,3,s0012
symptom/musculoskeletal system symptom/postural reaction/abnormal hemistanding,3,abnormal hemistanding,[],,2,s0013
symptom/musculoskeletal system symptom/muscle symptom,2,muscle symptom,[],,2,s0014
symptom/musculoskeletal system symptom/muscle symptom/muscle tightness,3,muscle tightness,[],,2,s0015
symptom/musculoskeletal system symptom/muscle symptom/opisthotonus,3,opisthotonus,[],,1,s0016
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness,3,muscle weakness,[],,2,s0017
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness,4,limb weakness,['extremities weakness'],,2,s0018
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness/leg weakness,5,leg weakness,[],,2,s0019
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/limb weakness/arm weakness,5,arm weakness,[],,2,s0020
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/hand weakness,4,hand weakness,[],"A muscle weakness that is characterized by a reduction in muscle strength, which may be the result of a variety of conditions, such as carpal tunnel syndrome, arthritis, peripheral neuropathy, tendon damage, and ganglion cysts.",2,s0021
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/deltoid muscle weakness,4,deltoid muscle weakness,[],,3,s0022
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/sternocleidomastoid weakness,4,sternocleidomastoid weakness,[],,2,s0023
symptom/musculoskeletal system symptom/muscle symptom/muscle weakness/peripheral muscle weakness,4,peripheral muscle weakness,[],,3,s0024
symptom/musculoskeletal system symptom/muscle symptom/muscle cramp,3,muscle cramp,[],,2,s0025
symptom/musculoskeletal system symptom/muscle symptom/muscle cramp/leg cramp,4,leg cramp,[],,2,s0026
symptom/musculoskeletal system symptom/muscle symptom/muscle twitching,3,muscle twitching,[],,2,s0027
symptom/musculoskeletal system symptom/muscle symptom/muscle twitching/facial muscle twitching,4,facial muscle twitching,[],,3,s0028
symptom/musculoskeletal system symptom/muscle symptom/muscle necrosis,3,muscle necrosis,[],,2,s0029
symptom/musculoskeletal system symptom/muscle symptom/muscle soreness,3,muscle soreness,[],,2,s0030
symptom/musculoskeletal system symptom/muscle symptom/muscle tenderness,3,muscle tenderness,[],,2,s0031
symptom/musculoskeletal system symptom/muscle symptom/flaccid muscle tone,3,flaccid muscle tone,[],,3,s0032
symptom/musculoskeletal system symptom/muscle symptom/cataplexy,3,cataplexy,[],"Cataplexy is a muscle symptom characterized by a sudden loss of muscle control with retention of clear consciousness that follows a strong emotional stimulus (as elation, surprise, or anger) and is a characteristic symptom of narcolepsy.",1,s0033
symptom/musculoskeletal system symptom/contracture,2,contracture,[],"A musculoskeletal system symptom that is characterized by a permanent tightening of the muscles, tendons, skin, and nearby tissues that causes the joints to shorten and become very stiff.",1,s0034
symptom/musculoskeletal system symptom/arthritis,2,arthritis,[],"Arthritis is a musculoskeletal system symptom characterized as an inflammation of joints due to infectious, metabolic, or constitutional causes.|doid/symp duplicate",1,s0035
symptom/musculoskeletal system symptom/arthritis/acute arthritis,3,acute arthritis,[],,2,s0036
symptom/musculoskeletal system symptom/motor weakness,2,motor weakness,[],,2,s0037
symptom/musculoskeletal system symptom/motor weakness/inibility to stand,3,inibility to stand,[],,3,s0038
symptom/musculoskeletal system symptom/joint symptom,2,joint symptom,[],,2,s0039
symptom/musculoskeletal system symptom/joint symptom/joint inflammation,3,joint inflammation,[],,2,s0040
symptom/musculoskeletal system symptom/joint symptom/joint inflammation/synovitis,4,synovitis,[],Synovitis is a joint inflammation characterized by an inflammation of a synovial membrane usually with pain and swelling of the joint.|doid/symp duplicate,1,s0041
symptom/musculoskeletal system symptom/inability to lie flat,2,inability to lie flat,[],,4,s0042
symptom/musculoskeletal system symptom/soft tissue necrosis,2,soft tissue necrosis,[],"A musculoskeletal system symptom that is characterized by necrosis (i.e. tissue death) of soft tissue, including muscle, fat, blood vessels, nerves, tendons, and tissues that surround the bones and joints.",3,s0043
symptom/musculoskeletal system symptom/clubbing of fingers,2,clubbing of fingers,[],,3,s0044
symptom/musculoskeletal system symptom/cellulitis,2,cellulitis,[],Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.|doid/symp duplicate,1,s0045
symptom/musculoskeletal system symptom/recumbency,2,recumbency,[],,1,s0046
symptom/musculoskeletal system symptom/uncoordinated gait,2,uncoordinated gait,[],,2,s0047
symptom/musculoskeletal system symptom/decreased jaw tone,2,decreased jaw tone,[],,3,s0048
symptom/musculoskeletal system symptom/staggering gait,2,staggering gait,[],,2,s0049
symptom/musculoskeletal system symptom/hypokinesia,2,hypokinesia,[],Hypokinesia is a musculoskeletal system  symptom characterized by the slow or diminished movement of body musculature. It may be associated with basal ganglia diseases; mental disorders; prolonged inactivity due to illness; experimental protocols used to evaluate the physiologic effects of immobility; and other conditions.,1,s0050
symptom/musculoskeletal system symptom/hypokinesia/postural instability hypokinesia,3,postural instability hypokinesia,[],Postural instability hypokinesia is a hypokinesia described as a loss of ability to maintain an upright posture.,3,s0051
symptom/musculoskeletal system symptom/hypokinesia/freezing hypokinesia,3,freezing hypokinesia,[],Freezing hypokinesia is a hypkinesia where a person can not move their muscles how they want them to.,2,s0052
symptom/musculoskeletal system symptom/hypokinesia/bradykinesia,3,bradykinesia,[],Bradykinesia is a hypokinesia characterized by an extreme slowness in the execution of movements and reflexes.,1,s0053
symptom/musculoskeletal system symptom/hypokinesia/rigidity hypokinesia,3,rigidity hypokinesia,[],Rigidity hypokinesia a type of hypokinesia described as the increase in muscle tension when moved by an outside force.,2,s0054
symptom/musculoskeletal system symptom/abnormality of gait,2,abnormality of gait,[],Abnormality of gait is a nervous system and musculoskeletal system symptom characterized by a difficulty in the manner of walking or moving on foot.,3,s0055
symptom/musculoskeletal system symptom/abnormality of gait/wobble,3,wobble,[],,1,s0056
symptom/musculoskeletal system symptom/lameness,2,lameness,[],Lameness is a musculoskeletal system symptom where a person is physically disabled as the result of having a body part and especially a limb so disabled as to impair freedom of movement.,1,s0057
symptom/hemic and immune system symptom,1,hemic and immune system symptom,[],,5,s0058
symptom/hemic and immune system symptom/hematopoietic system symptom,2,hematopoietic system symptom,[],,3,s0059
symptom/hemic and immune system symptom/immune system symptom,2,immune system symptom,[],,3,s0060
symptom/hemic and immune system symptom/immune system symptom/anaphylactic shock,3,anaphylactic shock,['anaphylaxis'],An acute allergic reaction to an antigen to which the body has become hypersensitive.,2,s0061
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom,3,lymphatic system symptom,[],,3,s0062
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes,4,enlargement of lymph nodes,"['swelling of lymph nodes', 'swollen lymph glands']",,4,s0063
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy,5,lymphadenopathy,['adenopathy'],,1,s0064
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy/painful reginal lymphadenopathy,6,painful reginal lymphadenopathy,[],,3,s0065
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/enlargement of lymph nodes/lymphadenopathy/cervical lymphadenopathy,6,cervical lymphadenopathy,[],,2,s0066
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphoblastoma,4,lymphoblastoma,[],,1,s0067
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphopenia,4,lymphopenia,[],doid/symp duplicate,1,s0068
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphangitis,4,lymphangitis,[],doid/symp duplicate,1,s0069
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis,4,lymphadenitis,[],doid/symp duplicate,1,s0070
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/bubo,5,bubo,['buboes'],,1,s0071
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/hilar lymphadenitis,5,hilar lymphadenitis,[],,2,s0072
symptom/hemic and immune system symptom/immune system symptom/lymphatic system symptom/lymphadenitis/acute mesenteric lymphadenitis,5,acute mesenteric lymphadenitis,[],,3,s0073
symptom/hemic and immune system symptom/immune system symptom/spleen symptom,3,spleen symptom,[],,2,s0074
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/hepatosplenomegaly,4,hepatosplenomegaly,[],,1,s0075
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/splenomegaly,4,splenomegaly,['esplenomegaly'],,1,s0076
symptom/hemic and immune system symptom/immune system symptom/spleen symptom/spleen abscess,4,spleen abscess,[],,2,s0077
symptom/hemic and immune system symptom/immune system symptom/thymus symptom,3,thymus symptom,[],,2,s0078
symptom/hemic and immune system symptom/immune system symptom/allergic reaction,3,allergic reaction,[],An immune system symptom that is characterized by sensitivities to substances called allergens.,2,s0079
symptom/hemic and immune system symptom/hemic system symptom,2,hemic system symptom,[],,3,s0080
symptom/hemic and immune system symptom/hemic system symptom/toxemia,3,toxemia,[],,1,s0081
symptom/hemic and immune system symptom/hemic system symptom/toxemia/intense toxemia,4,intense toxemia,[],,2,s0082
symptom/hemic and immune system symptom/hemic system symptom/microangiopathy,3,microangiopathy,[],,1,s0083
symptom/hemic and immune system symptom/hemic system symptom/coagulopathy,3,coagulopathy,[],,1,s0084
symptom/hemic and immune system symptom/hemic system symptom/hyponatremia,3,hyponatremia,[],,1,s0085
symptom/hemic and immune system symptom/hemic system symptom/septicemia,3,septicemia,[],,1,s0086
symptom/hemic and immune system symptom/hemic system symptom/thrombocytopenia,3,thrombocytopenia,[],doid/symp duplicate,1,s0087
symptom/hemic and immune system symptom/hemic system symptom/vasculitis,3,vasculitis,[],doid/symp duplicate,1,s0088
symptom/hemic and immune system symptom/hemic system symptom/leukocytosis,3,leukocytosis,[],,1,s0089
symptom/hemic and immune system symptom/hemic system symptom/anemia,3,anemia,['anaemia'],"doid/symp duplicate - reviewed 10/2022, both DO & SYMP",1,s0090
symptom/hemic and immune system symptom/hemic system symptom/anemia/hemolytic anemia,4,hemolytic anemia,[],doid/symp duplicate,2,s0091
symptom/hemic and immune system symptom/hemic system symptom/anemia/hemolytic anemia/microangiopathic hemolytic anemia,5,microangiopathic hemolytic anemia,[],,3,s0092
symptom/hemic and immune system symptom/hemic system symptom/anemia/moderate anemia,4,moderate anemia,[],,2,s0093
symptom/hemic and immune system symptom/hemic system symptom/ischemia,3,ischemia,[],,1,s0094
symptom/hemic and immune system symptom/hemic system symptom/hemolysis,3,hemolysis,['haemolysis'],,1,s0095
symptom/hemic and immune system symptom/hemic system symptom/hyperemia,3,hyperemia,"['hyperaemia', 'hyperemic']",Hyperemia is a hemic system symptom consisting of an excess of blood in a body part as from an increased flow of blood due to vasodilation.,1,s0096
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/functional hyperemia,4,functional hyperemia,[],Functional hyperemia is a hyperemia occurring due to an increase in blood flow to a tissue due to the presence of metabolites and a change in general conditions.,2,s0097
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/reactive hyperemia,4,reactive hyperemia,[],Reactive hyperemia is a hyperemia occurring due to the dilation of arteriolar smooth muscle to increase blood flow in response to a profound increase in blood flow to an organ after being occluded. There will be a shortage of oxygen and a build-up of metabolic waste.,2,s0098
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/active hyperemia,4,active hyperemia,[],Active hyperemia is a hyperemia occurring due to the dilation of arteriolar smooth muscle to increase blood flow in response to an increase in metabolism.,2,s0099
symptom/hemic and immune system symptom/hemic system symptom/hyperemia/congested sclera,4,congested sclera,[],Congested sclera is a hyperemia characterized as the congestion of the vessels of the outer layer of the eye containing collagen and elastic fibers.,2,s0100
symptom/hemic and immune system symptom/hemic system symptom/hypotension,3,hypotension,[],,1,s0101
symptom/hemic and immune system symptom/hemic system symptom/hypotension/mild hypotension,4,mild hypotension,[],,2,s0102
symptom/hemic and immune system symptom/hemic system symptom/hypoxemia,3,hypoxemia,['hypoxaemia'],,1,s0103
symptom/hemic and immune system symptom/hemic system symptom/hemodynamic instability,3,hemodynamic instability,[],,2,s0104
symptom/hemic and immune system symptom/hemic system symptom/low white blood cell count,3,low white blood cell count,[],,5,s0105
symptom/hemic and immune system symptom/hemic system symptom/hematogenous,3,hematogenous,[],,1,s0106
symptom/hemic and immune system symptom/hemic system symptom/plasmacytosis,3,plasmacytosis,[],,1,s0107
symptom/hemic and immune system symptom/hemic system symptom/cytopenia,3,cytopenia,[],,1,s0108
symptom/hemic and immune system symptom/hemic system symptom/reticulocytosis,3,reticulocytosis,[],,1,s0109
symptom/hemic and immune system symptom/hemic system symptom/macrocytosis,3,macrocytosis,[],,1,s0110
symptom/digestive system symptom,1,digestive system symptom,[],,3,s0111
symptom/digestive system symptom/flatulence,2,flatulence,"['gas production', 'gas']",,1,s0112
symptom/digestive system symptom/tenesmus,2,tenesmus,[],,1,s0113
symptom/digestive system symptom/terminal ileitis,2,terminal ileitis,[],,2,s0114
symptom/digestive system symptom/vomiting,2,vomiting,['emesis'],Vomiting is a digestive system symptom characterized by throwing up the stomach contents.,1,s0115
symptom/digestive system symptom/vomiting/hematemesis,3,hematemesis,"['haematemesis', 'bloody vomit', 'vomiting blood']",A vomiting where there is vomiting of blood.,1,s0116
symptom/digestive system symptom/liver symptom,2,liver symptom,[],,2,s0117
symptom/digestive system symptom/liver symptom/hepatic necrosis,3,hepatic necrosis,[],,2,s0118
symptom/digestive system symptom/liver symptom/hepatic necrosis/massive hepatic necrosis,4,massive hepatic necrosis,[],,3,s0119
symptom/digestive system symptom/liver symptom/hepatitis,3,hepatitis,[],doid/symp duplicate,1,s0120
symptom/digestive system symptom/liver symptom/hepatic dysfunction,3,hepatic dysfunction,[],,2,s0121
symptom/digestive system symptom/liver symptom/hepatic abscess,3,hepatic abscess,['hepatic abscesses'],hepatic abscess is a liver symptom characterized by a pus-filled mass in the liver that can develop from injury to the liver or an intraabdominal infection disseminated from the portal circulation.,2,s0122
symptom/digestive system symptom/liver symptom/hepatomegaly,3,hepatomegaly,['enlargement of the liver'],,1,s0123
symptom/digestive system symptom/liver symptom/liver inflammation,3,liver inflammation,[],,2,s0124
symptom/digestive system symptom/nausea,2,nausea,[],Nausea is a digestive system symptom characterized by an uneasy or unsettled feeling in the stomach together with an urge to vomit.,1,s0125
symptom/digestive system symptom/visible peristalsis,2,visible peristalsis,[],,2,s0126
symptom/digestive system symptom/enteritis,2,enteritis,[],Enteritis is a digestive system symptom involving the inflammation of the small intestines and especially of the human ileum.,1,s0127
symptom/digestive system symptom/enteritis/chronic enteritis,3,chronic enteritis,[],"Chronic enteritis is a enteritis with slow progress, long duration, or frequent recurrence which can be due to Crohn's disease, giardiasis, tuberculosis, coeliac disease, or rarely due to Whipple's disease.",2,s0128
symptom/digestive system symptom/enteritis/acute enteritis,3,acute enteritis,[],Acute enteritis is a enteritis with either or both a rapid onset and a short course which is usually due to bacteria or virus.,2,s0129
symptom/digestive system symptom/gastrointestinal bleeding,2,gastrointestinal bleeding,[],"A digestive system symptom characterized by bleeding from one or more of the areas of the digestive or gastrointestinal (GI) tract that includes the espophagus, stomach, small intestine, large intestine or colon, rectum and anus.",2,s0130
symptom/digestive system symptom/feces and droppings symptom,2,feces and droppings symptom,['fecal'],,4,s0131
symptom/digestive system symptom/feces and droppings symptom/constipation,3,constipation,[],"Constipation is a feces and droppings symptom involving the abnormally delayed or infrequent passage of dry hardened feces. Constipation may be categorized into three subtypes: normal-transit, slow-transit, and pelvic floor dysfunction.|doid/symp duplicate",1,s0132
symptom/digestive system symptom/feces and droppings symptom/constipation/outlet dysfunction constipation,4,outlet dysfunction constipation,[],"A constipation that is characterized by difficulty passing bowel movements after they reach the rectum. One experiences difficulty evacuating the stool and often has to strain or press the fingers into the vagina or in front of or into the rectum to help remove the stool. Outlet dysfunction can be caused by inappropriate or abnormal muscle contraction of the pelvic floor (called pelvic floor dyssynergia or dyssynergic defecation) which can respond to biofeedback. It may also be due to a rectocele or other structural changes in the pelvic floor that will require medical or at times, surgical treatment.",3,s0133
symptom/digestive system symptom/feces and droppings symptom/melena,3,melena,['melaena'],"A feces and droppings symptom that is characterized by the passage of dark tarry stools containing decomposing blood that is usually an indication of bleeding in the upper part of the alimentary canal and especially the esophagus, stomach, and duodenum.",1,s0134
symptom/digestive system symptom/feces and droppings symptom/bloody stool,3,bloody stool,['blood in stool'],,2,s0135
symptom/digestive system symptom/feces and droppings symptom/diarrhea,3,diarrhea,"['incontinence of feces', 'bacterial gastroenteritis', 'fecal incontinence', 'loose bowel', 'loose bowels', 'diarrhoea', 'the runs']","Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.|doid/symp duplicate - reviewed 10/2022, both DO & SYMP",1,s0136
symptom/digestive system symptom/feces and droppings symptom/diarrhea/severe diarrhea,4,severe diarrhea,[],,2,s0137
symptom/digestive system symptom/feces and droppings symptom/diarrhea/bloody diarrhea,4,bloody diarrhea,[],,2,s0138
symptom/digestive system symptom/feces and droppings symptom/diarrhea/hemorrhagic diarrhea,4,hemorrhagic diarrhea,[],,2,s0139
symptom/digestive system symptom/feces and droppings symptom/diarrhea/acute diarrhea,4,acute diarrhea,[],Acute diarrhea is a diarrhea with either or both a rapid onset or a short course.|doid/symp duplicate,2,s0140
symptom/digestive system symptom/feces and droppings symptom/diarrhea/yellowish green diarrhea,4,yellowish green diarrhea,[],,3,s0141
symptom/digestive system symptom/feces and droppings symptom/steatorrhea,3,steatorrhea,[],doid/symp duplicate,1,s0142
symptom/digestive system symptom/feces and droppings symptom/yellow dropping,3,yellow dropping,[],,2,s0143
symptom/digestive system symptom/feces and droppings symptom/abnormal feces,3,abnormal feces,[],,2,s0144
symptom/digestive system symptom/feces and droppings symptom/acholic stool,3,acholic stool,['claycolored bowel movement'],,2,s0145
symptom/digestive system symptom/feces and droppings symptom/hematochezia,3,hematochezia,[],"hematochezia is a feces and droppings symptom characterized by the passage of fresh blood per anus, usually in or with stools.",1,s0146
symptom/digestive system symptom/intestinal hemorrhage,2,intestinal hemorrhage,[],,2,s0147
symptom/digestive system symptom/rectorrhagia,2,rectorrhagia,['rectal bleeding'],,1,s0148
symptom/digestive system symptom/intestinal hypermotility,2,intestinal hypermotility,[],,2,s0149
symptom/digestive system symptom/abnormal bowel sound,2,abnormal bowel sound,[],,3,s0150
symptom/digestive system symptom/salivary gland symptom,2,salivary gland symptom,[],,3,s0151
symptom/digestive system symptom/salivary gland symptom/salivation,3,salivation,[],,1,s0152
symptom/digestive system symptom/salivary gland symptom/salivation/continuous profuse salivation,4,continuous profuse salivation,[],,3,s0153
symptom/digestive system symptom/salivary gland symptom/salivation/excess salivation,4,excess salivation,['profuse salivation'],,2,s0154
symptom/digestive system symptom/salivary gland symptom/acute suppurative parotiditis,3,acute suppurative parotiditis,[],,3,s0155
symptom/digestive system symptom/salivary gland symptom/parotid abscess,3,parotid abscess,[],,2,s0156
symptom/digestive system symptom/necrosis of jejunum,2,necrosis of jejunum,[],,3,s0157
symptom/digestive system symptom/necrosis of jejunum/ischemic necrosis of jejunum,3,ischemic necrosis of jejunum,[],,4,s0158
symptom/digestive system symptom/belching,2,belching,['eructation'],Belching is a digestive system symptom involving the sudden expulsion of gas from the stomach through the mouth.,1,s0159
symptom/digestive system symptom/diminished gastro-intestinal motility,2,diminished gastrointestinal motility,[],,3,s0160
symptom/digestive system symptom/gastroenteritis,2,gastroenteritis,[],doid/symp duplicate,1,s0161
symptom/digestive system symptom/gastroenteritis/hemorrhagic gastroenteritis,3,hemorrhagic gastroenteritis,['haemorrhagic gastroenteritis'],,2,s0162
symptom/digestive system symptom/gastroenteritis/acute gastroenteritis,3,acute gastroenteritis,[],,2,s0163
symptom/digestive system symptom/lesions in pancreas,2,lesions in pancreas,[],,3,s0164
symptom/digestive system symptom/distended loops of intestines on rectal,2,distended loops of intestines on rectal,[],,6,s0165
symptom/digestive system symptom/pyrosis,2,pyrosis,"['acid indigestion', 'heartburn']",From synonym: Heartburn is a pain characterized by a painful burning feeling in your chest or throat that happens when stomach acid backs up into your esophagus.,1,s0166
symptom/digestive system symptom/bloating,2,bloating,[],Bloating is a digestive system symptom involving the accumulation of gas in the digestive tract and resulting in abdominal distension.,1,s0167
symptom/digestive system symptom/dyspepsia,2,dyspepsia,['indigestion'],"Dyspepsia is a digestive system symptom referred to as indigestion resulting from an impairment to digestion caused by ulcer, gall bladder disease or inflamed colon. Related symptoms include weakness, loss of appetite, and depression.|doid/symp duplicate",1,s0168
symptom/cardiovascular system symptom,1,cardiovascular system symptom,[],,3,s0169
symptom/cardiovascular system symptom/endocarditis,2,endocarditis,[],doid/symp duplicate,1,s0170
symptom/cardiovascular system symptom/shock,2,shock,[],"A cardiovascular system symptom that is characterized as a state of profound depression of the vital processes of the body that is characterized by pallor, rapid but weak pulse, rapid and shallow respiration, reduced total blood volume, and low blood pressure and that is caused usually by severe especially crushing injuries, hemorrhage, burns, or major surgery.",1,s0171
symptom/cardiovascular system symptom/shock/cardiogenic shock,3,cardiogenic shock,[],,2,s0172
symptom/cardiovascular system symptom/shock/septic shock,3,septic shock,[],,2,s0173
